source,title,company,salary,salary_num,skills,location,date,experience_level,category
HH.ru,Technical Director (CTO),HH.ru employer,282750.0,3142.0,,ЦАО,2024-05-01,Lead,Management
HH.ru,System administrator,HH.ru employer,65000.0,65000.0,,Не в Москве,2024-05-01,Middle,System Admin
HH.ru,Security specialist,HH.ru employer,50000.0,50000.0,,ЦАО,2024-05-01,Middle,Security
HH.ru,Information Security Specialist,HH.ru employer,95700.0,95700.0,,ВАО,2024-05-01,Middle,Security
HH.ru,DevOps engineer,HH.ru employer,261000.0,2900.0,,ЮАО,2024-05-01,Middle,DevOps & Cloud
HH.ru,"BI Analyst, Data Analyst",HH.ru employer,108750.0,1208.0,,ЗАО,2024-05-01,Middle,Data Science
Habr Career,Data Scientist,Not specified,NegotiableПохожие специалисты получают 193 000 - 282 000 RUB,2144.0,Deep LearningSQLPython,,,Middle,Data Science
Habr Career,Data Analyst / Data Scientist (Fintech / Payments),Not specified,от 4000 до 10 000 $,4000.0,SQLPythonPostgreSQLBIАнализ данных,,,Middle,Data Science
Habr Career,Data Scientist (NLP|LLM),Not specified,NegotiableПохожие специалисты получают 190 000 - 300 000 RUB,2111.0,NLPLLMКомпьютерное зрениеPython,,,Middle,Data Science
Habr Career,Data Engineer,Not specified,NegotiableПохожие специалисты получают 350 000 - 434 000 RUB,3889.0,ClickHouseGreenplumApache AirflowApache SparkETL,,,Middle,Data Engineering
Habr Career,Data analyst,Not specified,NegotiableПохожие специалисты получают 135 000 - 239 000 RUB,1500.0,PostgreSQL,,,Middle,Data Science
Habr Career,Data Engineer mid (DWH),Not specified,NegotiableПохожие специалисты получают 215 000 - 287 000 RUB,2389.0,SQLPythonDWHClickHouseApache AirflowGreenplum,,,Middle,Data Engineering
Habr Career,Lead Data Analyst / Analytics Lead,Not specified,Negotiable,,SQLPythonБазы данныхPHPDockerPostgreSQLMySQLClickHouse,,,Lead,Data Science
Habr Career,Data Analyst,Not specified,NegotiableПохожие специалисты получают 264 000 - 347 000 RUB,2933.0,SQLETLDWHPowerBI,,,Middle,Data Science
Habr Career,Account Director (e-commerce & data),Not specified,NegotiableПохожие специалисты получают 122 000 - 279 000 RUB,1356.0,Управление проектамиРазвитие бизнесаУправление рискамиВедение переговоров,,,Lead,Management
Habr Career,Data Engineer/Data engineer (student),Not specified,от 90 000 до 100 000 RUB,90000.0,ВизуализацияNoSQLSQLPythonAgileМатематическая статистикаБазы данных,,,Middle,Data Engineering
Habr Career,Senior Data Engineer,Not specified,NegotiableПохожие специалисты получают 320 000 - 374 000 RUB,3556.0,SQL,,,Senior,Data Engineering
Habr Career,Project Manager (BigData),Not specified,NegotiableПохожие специалисты получают 260 000 - 350 000 RUB,2889.0,LLMУправление продуктамиA/B тестирование,,,Middle,Management
Habr Career,Middle/Senior DevOps Engineer [MTS Web Services],Not specified,Negotiable,,KubernetesTerraform,,,Senior,DevOps & Cloud
Habr Career,Team Lead development (Java),Not specified,NegotiableПохожие специалисты получают 357 000 - 501 000 RUB,3967.0,JavaApache KafkaВысоконагруженные системыPostgreSQLSpring BootJava Spring FrameworkKubernetes,,,Lead,Management
Habr Career,Java developer (SOPBB),Not specified,NegotiableПохожие специалисты получают 300 000 - 400 000 RUB,3333.0,Java,,,Middle,Backend
Habr Career,Java Developer,Not specified,от 75 000 RUB,75000.0,JavaKotlinGitDockerJava Spring Framework,,,Middle,Backend
Habr Career,C# Developer (WinForms + SQL),Not specified,от 350 000 RUB,3889.0,C#Windows Forms.NETSQLRESTful API,,,Middle,Backend
Habr Career,iOS developer,Not specified,NegotiableПохожие специалисты получают 292 000 - 440 000 RUB,3244.0,Swift,,,Middle,Mobile
Habr Career,ML Engineer,Not specified,Negotiable,,PythonLLMDockerKubernetes,,,Middle,Data Science
Habr Career,Data Analyst (Antifraud System),Not specified,NegotiableПохожие специалисты получают 170 000 - 272 000 RUB,1889.0,SQLPythonTensorFlowKerasNumPyPandasPyTorchМашинное обучение,,,Middle,Data Science
Habr Career,BI analyst,Not specified,NegotiableПохожие специалисты получают 150 000 - 222 000 RUB,1667.0,PostgreSQLApache SupersetPythonReactDWH,,,Middle,BI & Analytics
Habr Career,"Hadoop developer (Moscow, St. Petersburg, Sochi, Nizhny Novgorod)",Not specified,NegotiableПохожие специалисты получают 215 000 - 278 000 RUB,2389.0,JavaApache HadoopApache Kafka,,,Middle,Data Engineering
Habr Career,NLP developer at Alice,Not specified,Negotiable,,NLP,,,Middle,Data Science
Habr Career,Java/Kotlin developer at Yandex Fintech,Not specified,NegotiableПохожие специалисты получают 325 000 - 442 000 RUB,3611.0,JavaApache KafkaPostgreSQLKubernetesRedisKotlinClickHouseGreenplum,,,Middle,Backend
Habr Career,Oracle Developer,Not specified,NegotiableПохожие специалисты получают 264 000 - 350 000 RUB,2933.0,SQLOracleOracle PL/SQLGitPostgreSQL,,,Middle,Database
Habr Career,iOS developer at Marketplace,Not specified,NegotiableПохожие специалисты получают 300 000 - 410 000 RUB,3333.0,SwiftUIKitGoogle FirebaseRealmРазработка под iOS,,,Middle,Mobile
Habr Career,SDET QA engineer (Java auto),Not specified,NegotiableПохожие специалисты получают 161 000 - 247 000 RUB,1789.0,ООПGitJavaSeleniumSQL,,,Middle,QA & Testing
Habr Career,Head of Development Team (backend Node.js),Not specified,NegotiableПохожие специалисты получают 400 000 - 500 000 RUB,4444.0,Node.jsMongoDBRedisRabbitMQClickHouse,,,Lead,Backend
Habr Career,Fullstack developer (REACT+JAVA),Not specified,NegotiableПохожие специалисты получают 260 000 - 400 000 RUB,2889.0,JavaReactNode.jsAngularJunit,,,Middle,Frontend
Habr Career,Machine learning infrastructure specialist (MLOps engineer),Not specified,NegotiableПохожие специалисты получают 75 000 - 282 000 RUB,75000.0,DevOpsDockerGitClickHouseKubernetes,,,Middle,Data Science
Habr Career,Android Developer,Not specified,Negotiable,,Android SDKKotlin,,,Middle,Mobile
Habr Career,AI Project Manager,Not specified,NegotiableПохожие специалисты получают 110 000 - 203 000 RUB,1222.0,Ведение переговоровУправление проектамиПроектное планирование,,,Middle,Management
Habr Career,Lead Java Developer,Not specified,NegotiableПохожие специалисты получают 300 000 - 422 000 RUB,3333.0,JavaSpring BootPostgreSQLSQLClickHouseMicronaut,,,Lead,Backend
Habr Career,Lead Developer/Tech Lead WebRTC,Not specified,Negotiable,,WebRTCRealtime,,,Lead,Management
Habr Career,ML engineer,Not specified,NegotiableПохожие специалисты получают 358 000 - 469 000 RUB,3978.0,GitPostgreSQLPython,,,Middle,Data Science
Habr Career,Python developer,Not specified,от 220 000 до 300 000 RUB,2444.0,PythonPostgreSQLDockerApache KafkaCI/CDFastAPIRabbitMQKubernetesRedisAsyncio,,,Middle,Backend
Habr Career,Python Developer,Not specified,от 75 000 RUB,75000.0,GitSQLPythonООПDockerDjangoFastAPIPostgreSQL,,,Middle,Backend
Habr Career,Junior AI Automation Engineer / AI engineer (junior),Not specified,от 50 000 RUB,50000.0,LLMPythonТестирование APILanggraphРазработка решений по интеграцииGPTАвтоматизация процессовПрототипированиеОрганизация работы с CRM,,,Junior,Data Science
Habr Career,Backend developer (Python/Django) to the employee development team,Not specified,NegotiableПохожие специалисты получают 160 000 - 257 000 RUB,1778.0,PythonPostgreSQLDjangoCeleryRedis,,,Middle,Backend
Habr Career,Python developer in ML,Not specified,NegotiableПохожие специалисты получают 200 000 - 269 000 RUB,2222.0,PythonCI/CDSQLNoSQLKubernetesGit-Flow,,,Middle,Backend
Habr Career,"Backend Python, Django middle + programmer",Not specified,NegotiableПохожие специалисты получают 189 000 - 270 000 RUB,2100.0,PythonDjangoPostgreSQLDockerGitPytestLinux,,,Middle,Backend
Habr Career,Tech Lead Python (IaaS/PaaS),Not specified,NegotiableПохожие специалисты получают 325 000 - 472 000 RUB,3611.0,KVMSQLВиртуализацияPythonPostgreSQLSQLalchemyFastAPILinuxВысоконагруженные системыOpenstack,,,Lead,Management
Habr Career,Senior Python Developer,Not specified,NegotiableПохожие специалисты получают 303 000 - 386 000 RUB,3367.0,PythonApache KafkaRabbitMQ,,,Senior,Backend
Habr Career,ML Engineer / Machine Learning Engineer,Not specified,NegotiableПохожие специалисты получают 212 000 - 343 000 RUB,2356.0,LinuxTensorFlowGitHubPostgreSQLPythonNumPyPyTorch,,,Middle,Data Science
Habr Career,Python Developer / SDET (network equipment),Not specified,Negotiable,,PythonTCPPytestBashСетевые технологииLinuxDockerAsyncioSQLalchemyCI/CD,,,Middle,Backend
Habr Career,ML Engineer (Customer Service),Not specified,NegotiableПохожие специалисты получают 156 000 - 350 000 RUB,1733.0,NLPTTS,,,Middle,Data Science
Habr Career,QA Engineer (Manual → AQA),Not specified,от 150 000 RUB,1667.0,PythonDockerRESTBashLinuxБазы данныхGitWeb Object FrameworkPlaywrightPostman,,,Middle,QA & Testing
Habr Career,Django Web Developer,Not specified,от 140 000 до 190 000 RUB,1556.0,GitPostgreSQLDockerPythonDjangoFastAPINginx,,,Middle,Backend
Habr Career,Team Lead (Ecom),Not specified,NegotiableПохожие специалисты получают 306 000 - 538 000 RUB,3400.0,FastAPIDjangoPythonAgileGolangScrumVue.jsMobileКлиент-серверные приложения,,,Lead,Management
Habr Career,Cloud Cyber ​​Security Engineer,Not specified,NegotiableПохожие специалисты получают 150 000 - 210 000 RUB,1667.0,AWS,,,Middle,Security
Habr Career,"Fullstack developer (.Net core, React)",Not specified,NegotiableПохожие специалисты получают 164 000 - 214 000 RUB,1822.0,.NET CoreReact.NET,,,Middle,Backend
Habr Career,C++ Developer,Not specified,NegotiableПохожие специалисты получают 200 000 - 288 000 RUB,2222.0,C++Linux,,,Middle,Backend
Habr Career,Java developer at Market,Not specified,от 180 000 до 350 000 RUB,2000.0,JavaJava Spring Framework,,,Middle,Backend
Habr Career,NLP developer in Browser,Not specified,Negotiable,,PythonDockerPyTorchDeep LearningNLPLLMReinforcement learning,,,Middle,Data Science
Habr Career,Java developer from scratch (trainee),Not specified,от 52 000 RUB,52000.0,JavaHibernateMySQLPostgreSQLGitJava Spring FrameworkООПSQLApache KafkaKubernetes,,,Junior,Backend
Habr Career,Quality Assurance Engineer,Not specified,Negotiable,,Тестирование ПОPythonООПPytestGitНагрузочное тестированиеDockerKubernetesLinuxCI/CD,,,Middle,QA & Testing
Habr Career,Automation Test Engineer / AQA (Java / Kotlin),Not specified,Negotiable,,JavaKotlin,,,Middle,Backend
Habr Career,Senior Backend Developer,Not specified,от 7000 до 10 000 $,7000.0,JavaScriptTypeScriptNode.jsGolangPythonFastAPIPostgreSQL,,,Senior,Backend
Habr Career,Senior AI Platform Engineer / LLMOps Engineer / Tech Lead,Not specified,от 300 000 RUB,3333.0,ScadaАСУ ТПDockerPythonRedisApache KafkaKubernetesLLMМикросервисная архитектураУправление людьми,,,Senior,Management
Habr Career,QA Engineer (Unified Communications (UC)),Not specified,NegotiableПохожие специалисты получают 134 000 - 300 000 RUB,1489.0,LinuxPythonDockerVoIPSIPTCP,,,Middle,QA & Testing
Habr Career,LEAD AI/ML ENGINEER,Not specified,от 400 000 RUB,4444.0,PythonGPTLLMКомпьютерное зрениеFastAPIPostgreSQLRedisKubernetesYandex.CloudWebSockets,,,Lead,Data Science
Habr Career,Middle/Senior Golang Developer,Not specified,NegotiableПохожие специалисты получают 330 000 - 434 000 RUB,3667.0,GolangKubernetesPythonLinux,,,Senior,Backend
Habr Career,Backend developer at Yandex Education,Not specified,NegotiableПохожие специалисты получают 162 000 - 325 000 RUB,1800.0,PythonGolangMongoDBPostgreSQL,,,Middle,Backend
Habr Career,Security Analysis Specialist (pentest),Not specified,NegotiableПохожие специалисты получают 121 000 - 221 000 RUB,1344.0,SQLPythonPostgreSQLDjangoOWASPBurp Suite,,,Middle,Security
Habr Career,Deep learning engineer for the neural network trajectory planner team,Not specified,Negotiable,,PythonC++Алгоритмы и структуры данныхОптимизация кодаМашинное обучениеНейронные сетиPyTorchTensorFlowReinforcement learningDeep Learning,,,Lead,Data Science
Habr Career,Business partner for information security,Not specified,Negotiable,,SAST/DASTИнформационная безопасность,,,Middle,Security
Habr Career,PHP developer,Not specified,от 15 000 до 250 000 RUB,15000.0,LinuxPHPLaravelSymfonyMySQLООПJava Spring FrameworkGitDockerАнглийский язык,,,Middle,Backend
Habr Career,Developer Ruby On Rail-Senior (Fullstack),Not specified,от 5000 до 15 000 $,5000.0,RubyRESTful APIReactRuby on RailsPostgreSQLRedisSQLClickHouse,,,Senior,Backend
Habr Career,Java Team Lead / Lead Developer,Not specified,Negotiable,,JavaPostgreSQL,,,Lead,Management
Habr Career,Vue 3 Frontend Developer,Not specified,от 100 000 до 250 000 RUB,100000.0,Vue.jsTypeScriptViteМаршрутизацияRESTful APICSSGitАдаптивная верстка,,,Middle,Frontend
Habr Career,PostgreSQL Database Administrator,Not specified,NegotiableПохожие специалисты получают 151 000 - 346 000 RUB,1678.0,PythonPostgreSQLSQLBashLinuxБазы данных,,,Middle,Database
Habr Career,Consultant in the area of ​​security analysis (Vulnerability Management),Not specified,Negotiable,,LinuxPython,,,Middle,Security
Habr Career,Angular developer,Not specified,NegotiableПохожие специалисты получают 288 000 - 371 000 RUB,3200.0,AngularTypeScriptRESTJSONOpenAPI SpecificationCSSSCSSDocker,,,Middle,Frontend
